date,open,oil
2014-06-27,751.3,105.639999
2014-06-30,753.92,105.690002
2014-07-01,752.42,105.440002
2014-07-02,753.15,105.209999
2014-07-03,761.89,105.209999
2014-07-04,757.36,105.209999
2014-07-07,748.96,104.059998
2014-07-08,729.18,103.389999
2014-07-09,728.93,103.449997
2014-07-10,721.28,101.949997
2014-07-11,721.9,102.860001
2014-07-14,726.44,100.459999
2014-07-15,722.44,100.93
2014-07-16,725.01,100.209999
2014-07-17,717.27,101.489998
2014-07-18,725.76,103.720001
2014-07-21,727.07,102.970001
2014-07-22,737.52,104.580002
2014-07-23,733.83,101.959999
2014-07-24,736.24,103.199997
2014-07-25,735.05,102.040001
2014-07-28,736.84,101.870003
2014-07-29,731.95,101.599998
2014-07-30,732.24,101.029999
2014-07-31,716.6,99.470001
2014-08-01,707.24,97.699997
2014-08-04,715.12,97.669998
2014-08-05,717.36,98.410004
2014-08-06,717.83,97.620003
2014-08-07,720.86,96.889999
2014-08-08,715.81,97.639999
2014-08-11,732.07,97.540001
2014-08-12,730.28,97.839996
2014-08-13,737.57,97.199997
2014-08-14,740.54,97.300003
2014-08-15,742.38,95.5
2014-08-18,749.88,97.099998
2014-08-19,754.78,96.559998
2014-08-20,756.31,94.699997
2014-08-21,753.0,93.489998
2014-08-22,752.26,93.889999
2014-08-25,758.24,93.339996
2014-08-26,755.54,93.360001
2014-08-27,757.57,93.879997
2014-08-28,749.3,93.75
2014-08-29,750.91,94.559998
2014-09-01,747.8,94.559998
2014-09-02,749.33,95.809998
2014-09-03,754.47,93.279999
2014-09-04,759.24,95.07
2014-09-05,760.46,94.57
2014-09-08,761.03,93.489998
2014-09-09,742.85,93.110001
2014-09-10,742.79,92.790001
2014-09-11,743.12,91.709999
2014-09-12,740.2,93.050003
2014-09-15,724.84,92.129997
2014-09-16,720.9,92.809998
2014-09-17,723.33,94.709999
2014-09-18,724.07,93.970001
2014-09-19,720.35,92.970001
2014-09-22,711.15,92.220001
2014-09-23,706.89,90.699997
2014-09-24,711.83,91.720001
2014-09-25,703.0,92.889999
2014-09-26,703.42,92.470001
2014-09-29,694.58,93.349998
2014-09-30,687.69,94.339996
2014-10-01,675.13,91.360001
2014-10-02,670.08,90.739998
2014-10-03,673.82,91.379997
2014-10-06,656.07,89.769997
2014-10-07,656.22,90.449997
2014-10-08,654.1,88.43
2014-10-09,642.85,87.730003
2014-10-10,626.62,84.389999
2014-10-13,619.37,85.199997
2014-10-14,620.23,84.980003
2014-10-15,617.88,82.32
2014-10-16,617.87,81.059998
2014-10-17,628.62,83.18
2014-10-20,633.21,83.129997
2014-10-21,644.21,82.760002
2014-10-22,645.32,82.550003
2014-10-23,643.32,80.41999799999998
2014-10-24,643.7,81.949997
2014-10-27,633.54,81.269997
2014-10-28,651.26,80.639999
2014-10-29,650.48,81.550003
2014-10-30,652.16,81.93
2014-10-31,662.96,81.040001
2014-11-03,660.61,80.589996
2014-11-04,654.19,78.220001
2014-11-05,650.98,77.360001
2014-11-06,642.54,78.870003
2014-11-07,649.09,77.860001
2014-11-10,646.14,78.5
2014-11-11,645.7,77.18
2014-11-12,641.3,77.5
2014-11-13,635.67,76.949997
2014-11-14,638.46,74.360001
2014-11-17,635.52,75.93
2014-11-18,642.36,75.489998
2014-11-19,643.85,74.230003
2014-11-20,647.74,74.25
2014-11-21,655.74,76.290001
2014-11-24,660.45,76.620003
2014-11-25,662.72,75.510002
2014-11-26,667.38,73.870003
2014-11-27,663.38,73.870003
2014-11-28,650.16,73.870003
2014-12-01,629.9,66.0
2014-12-02,633.84,69.239998
2014-12-03,637.15,67.599998
2014-12-04,635.28,67.400002
2014-12-05,637.8,66.800003
2014-12-08,629.14,65.459999
2014-12-09,625.08,63.009998
2014-12-10,628.77,63.330002
2014-12-11,626.46,61.119999
2014-12-12,620.9,59.169998
2014-12-15,612.77,57.07
2014-12-16,606.31,55.400002
2014-12-17,603.67,55.5
2014-12-18,616.02,55.830002
2014-12-19,618.19,55.5
2014-12-22,620.76,57.75
2014-12-23,620.84,55.389999
2014-12-24,622.84,55.389999
